test, case
41, 3
55, 4
70, 1
87, 3
129, 1
174, 2
169, 5
264, 1
960, 2
865, 1
408, 1
577, 1
957, 1
1030, 15
1149, 5
1633, 31
1860, 22
2707, 52
3180, 48
5481, 142
6037, 87
6039, 123
8057, 46
8725, 161
11631, 70
13273, 60
13880, 84
16734, 169
20716, 115
21097, 334
25568, 171
24751, 256
30237, 315
29154, 594
35182, 219
32422, 376
33360, 210
33799, 476
35555, 600
28414, 516
21810, 438
21832, 518
19620, 483
19376, 367
17458, 248
18452, 131
18540, 242
17727, 114
17940, 110
17634, 107
16272, 76
14971, 74
17291, 84
16346, 93
15904, 152
15525, 87
15704, 147
14540, 98
13628, 64
15440, 76
14278, 100
14369, 104
